Entry	Entry name	Entry name	Protein names	Gene names	Organism	Gene names  (synonym )	Gene names  (primary )
F5H8H2	F5H8H2	f5h8h2	Mevalonate kinase (MK) (EC 2.7.1.36)	MVK	Homo sapiens (Human)		MVK
Q712L8	Q712L8	q712l8	Phosphoenolpyruvate carboxykinase (EC 4.1.1.32) (Fragment)	pck2	Homo sapiens (Human)		pck2
B4DJG4	B4DJG4	b4djg4	"cDNA FLJ50549, highly similar to Calcium/calmodulin-dependent protein kinase type 1B (EC 2.7.11.17) (cDNA, FLJ79301, highly similar to Calcium/calmodulin-dependent protein kinase type 1B (EC 2.7.11.17))"		Homo sapiens (Human)		
Q0IJ44	Q0IJ44	q0ij44	Receptor protein-tyrosine kinase (EC 2.7.10.1) (Fragment)	FGFR3	Homo sapiens (Human)		FGFR3
D6RDH4	D6RDH4	d6rdh4	Adenylate kinase isoenzyme 6	AK6	Homo sapiens (Human)		AK6
E9PQ52	E9PQ52	e9pq52	Integrin-linked protein kinase	ILK	Homo sapiens (Human)		ILK
Q5SRQ6	Q5SRQ6	q5srq6	Casein kinase II subunit beta (CK II beta)	CSNK2B hCG_43725	Homo sapiens (Human)		CSNK2B
A0A024RC92	A0A024RC92	a0a024rc92	Tyrosine-protein kinase (EC 2.7.10.2)	FES hCG_32581	Homo sapiens (Human)		FES
A0A0S2Z471	A0A0S2Z471	a0a0s2z471	"Creatine kinase brain isoform 2 (Creatine kinase, brain, isoform CRA_b) (Fragment)"	CKB hCG_25499	Homo sapiens (Human)		CKB
A0A024QYY7	A0A024QYY7	a0a024qyy7	"Unc-51-like kinase 2 (C. elegans), isoform CRA_a"	ULK2 hCG_30690	Homo sapiens (Human)		ULK2
H0Y9E4	H0Y9E4	h0y9e4	Pantothenate kinase 4 (Fragment)	PANK4	Homo sapiens (Human)		PANK4
Q6FGX9	Q6FGX9	q6fgx9	Adenylate kinase isoenzyme 1 (AK 1) (EC 2.7.4.3) (EC 2.7.4.6) (ATP-AMP transphosphorylase 1) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase) (Myokinase)	AK1 HTL-S-58j hCG_2039407	Homo sapiens (Human)	HTL-S-58j	AK1
B4DLS1	B4DLS1	b4dls1	"cDNA FLJ57394, highly similar to Selenide, water dikinase 1 (EC 2.7.9.3)"		Homo sapiens (Human)		
X6RGC9	X6RGC9	x6rgc9	TYRO protein tyrosine kinase-binding protein	TYROBP	Homo sapiens (Human)		TYROBP
B4DUB1	B4DUB1	b4dub1	"cDNA FLJ50029, highly similar to Cell division cycle 2-like protein kinase 6 (EC 2.7.11.22)"		Homo sapiens (Human)		
I3L4K3	I3L4K3	i3l4k3	Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase (Fragment)	PKMYT1	Homo sapiens (Human)		PKMYT1
M0R000	M0R000	m0r000	Bifunctional polynucleotide phosphatase/kinase (Fragment)	PNKP	Homo sapiens (Human)		PNKP
J3KSW1	J3KSW1	j3ksw1	Phosphoinositide 3-kinase regulatory subunit 5	PIK3R5	Homo sapiens (Human)		PIK3R5
A8K636	A8K636	a8k636	Kinase (EC 2.7.-.-)		Homo sapiens (Human)		
B4DKP2	B4DKP2	b4dkp2	"cDNA FLJ54362, highly similar to Serine/threonine-protein kinase Duet (EC 2.7.11.1)"		Homo sapiens (Human)		
B2R5T1	B2R5T1	b2r5t1	Protein kinase C (EC 2.7.11.13)		Homo sapiens (Human)		
B0AZM9	B0AZM9	b0azm9	"cDNA, FLJ79469, highly similar to Serine/threonine-protein kinase PAK 7 (EC2.7.11.1)"		Homo sapiens (Human)		
B7ZVY7	B7ZVY7	b7zvy7	Cell division cycle 2-like 1 (PITSLRE proteins) (Cyclin-dependent kinase 11B)	CDC2L1 CDK11B	Homo sapiens (Human)	CDK11B	CDC2L1
E9PPN6	E9PPN6	e9ppn6	Ribosomal protein S6 kinase alpha-1	RPS6KA1	Homo sapiens (Human)		RPS6KA1
B4DGX8	B4DGX8	b4dgx8	"Ret proto-oncogene (Multiple endocrine neoplasia and medullary thyroid carcinoma 1, Hirschsprung disease), isoform CRA_c (cDNA FLJ58503, highly similar to Proto-oncogene tyrosine-protein kinase receptorret (EC 2.7.10.1))"	RET hCG_22740	Homo sapiens (Human)		RET
Q68D95	Q68D95	q68d95	Dual-specificity protein kinase CLK4 (Putative uncharacterized protein DKFZp686A20267)	DKFZp686A20267 CLK4	Homo sapiens (Human)	CLK4	DKFZp686A20267
Q66S35	Q66S35	q66s35	"6-phosphofructo-2-kinase/fructose-2, 6-biphosphatase 4 isoform 1 (EC 2.7.1.105) (EC 3.1.3.46) (6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 4)"	PFKFB4	Homo sapiens (Human)		PFKFB4
L7RXH5	L7RXH5	l7rxh5	Mitogen-activated protein kinase (EC 2.7.11.24)	MAPK3	Homo sapiens (Human)		MAPK3
M0R131	M0R131	m0r131	Dual-specificity tyrosine-phosphorylation-regulated kinase 1B (Fragment)	DYRK1B	Homo sapiens (Human)		DYRK1B
C9J5E6	C9J5E6	c9j5e6	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1 (Fragment)	PPIP5K1	Homo sapiens (Human)		PPIP5K1
A0A087WTE6	A0A087WTE6	a0a087wte6	SRC kinase-signaling inhibitor 1 (Fragment)	SRCIN1	Homo sapiens (Human)		SRCIN1
B4DR80	B4DR80	b4dr80	"Serine/threonine-protein kinase 24 (cDNA FLJ61159, highly similar to Serine/threonine-protein kinase 24 (EC 2.7.11.1))"	STK24	Homo sapiens (Human)		STK24
C9JHV2	C9JHV2	c9jhv2	Kinase (EC 2.7.-.-)	IP6K2	Homo sapiens (Human)		IP6K2
A0A024RAK5	A0A024RAK5	a0a024rak5	"Creatine kinase, mitochondrial 2 (Sarcomeric), isoform CRA_a"	CKMT2 hCG_37128	Homo sapiens (Human)		CKMT2
A0A0S2Z3T3	A0A0S2Z3T3	a0a0s2z3t3	Tyrosine-protein kinase (EC 2.7.10.2) (Fragment)	LCK hCG_41609	Homo sapiens (Human)		LCK
E9PFX6	E9PFX6	e9pfx6	Diacylglycerol kinase (DAG kinase) (EC 2.7.1.107)	DGKI	Homo sapiens (Human)		DGKI
Q6N076	Q6N076	q6n076	Mitogen-activated protein kinase (EC 2.7.11.24) (Fragment)	DKFZp686M02159	Homo sapiens (Human)		DKFZp686M02159
B7Z4L8	B7Z4L8	b7z4l8	"cDNA FLJ60303, highly similar to Protein kinase C-binding protein NELL2"		Homo sapiens (Human)		
F6XY72	F6XY72	f6xy72	"HCG2001850, isoform CRA_c (Nucleoside diphosphate kinase B)"	NME2 hCG_2001850	Homo sapiens (Human)		NME2
Q8WU40	Q8WU40	q8wu40	CAMK2G protein (Calcium/calmodulin-dependent protein kinase type II subunit gamma) (Fragment)	CAMK2G	Homo sapiens (Human)		CAMK2G
A0A0A0MST9	A0A0A0MST9	a0a0a0mst9	Non-specific serine/threonine protein kinase (EC 2.7.11.1)	MARK3 hCG_25498	Homo sapiens (Human)		MARK3
A0A024R0I0	A0A024R0I0	a0a024r0i0	"Dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1B, isoform CRA_a"	DYRK1B hCG_43347	Homo sapiens (Human)		DYRK1B
Q7RTX2	Q7RTX2	q7rtx2	"Pantothenate kinase 4 putative variant (Pantothenate kinase 4, isoform CRA_b)"	PANK4 hCG_24601	Homo sapiens (Human)		PANK4
K7EKK0	K7EKK0	k7ekk0	TYRO protein tyrosine kinase-binding protein	TYROBP	Homo sapiens (Human)		TYROBP
C9JQB1	C9JQB1	c9jqb1	Nucleoside diphosphate kinase (EC 2.7.4.6)	NME6	Homo sapiens (Human)		NME6
B2RBS0	B2RBS0	b2rbs0	"cDNA, FLJ95651, highly similar to Homo sapiens phosphatidylinositol 4-kinase, catalytic, alpha polypeptide (PIK4CA), transcript variant 1, mRNA"		Homo sapiens (Human)		
A0A087X0I6	A0A087X0I6	a0a087x0i6	Non-specific serine/threonine protein kinase (EC 2.7.11.1)	MARK1	Homo sapiens (Human)		MARK1
Q6P0Y1	Q6P0Y1	q6p0y1	"Serine/threonine kinase 24 (STE20 homolog, yeast)"	STK24	Homo sapiens (Human)		STK24
F5H3Q6	F5H3Q6	f5h3q6	Epidermal growth factor receptor kinase substrate 8 (Fragment)	EPS8	Homo sapiens (Human)		EPS8
D1MAM3	D1MAM3	d1mam3	Tyrosine-protein kinase receptor (EC 2.7.10.1)	ALK	Homo sapiens (Human)		ALK
A8MWG7	A8MWG7	a8mwg7	Mitogen-activated protein kinase kinase kinase 19	MAP3K19	Homo sapiens (Human)		MAP3K19
Q1WIR0	Q1WIR0	q1wir0	Phosphoinositide-3-kinase C		Homo sapiens (Human)		
D6RC95	D6RC95	d6rc95	Homeodomain-interacting protein kinase 1 (Fragment)	HIPK1	Homo sapiens (Human)		HIPK1
A0A024RDX4	A0A024RDX4	a0a024rdx4	ATP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.93) (ATP-dependent NAD(P)HX dehydratase) (Carbohydrate kinase domain-containing protein)	FLJ10769 CARKD hCG_32552	Homo sapiens (Human)	CARKD	FLJ10769
E9PB13	E9PB13	e9pb13	Kinase suppressor of Ras 2	KSR2	Homo sapiens (Human)		KSR2
A0A024QZU1	A0A024QZU1	a0a024qzu1	"Eukaryotic translation initiation factor 2-alpha kinase 1, isoform CRA_a"	EIF2AK1 hCG_2008663	Homo sapiens (Human)		EIF2AK1
A0A0A0MTL5	A0A0A0MTL5	a0a0a0mtl5	S-phase kinase-associated protein 2	SKP2	Homo sapiens (Human)		SKP2
L7RSL3	L7RSL3	l7rsl3	Fms-related tyrosine kinase 1 (Vascular endothelial growth factor/vascular permeability factor receptor)	FLT1	Homo sapiens (Human)		FLT1
A0A0A0MQY2	A0A0A0MQY2	a0a0a0mqy2	TGF-beta-activated kinase 1 and MAP3K7-binding protein 3 (Fragment)	TAB3	Homo sapiens (Human)		TAB3
B7Z6U2	B7Z6U2	b7z6u2	"cDNA FLJ51511, highly similar to Phosphorylase b kinase gamma catalytic chain, skeletal muscle isoform (EC 2.7.11.19)"		Homo sapiens (Human)		
W0S0X4	W0S0X4	w0s0x4	Tyrosine-protein kinase (EC 2.7.10.2)	Pe1Fe3	Homo sapiens (Human)		Pe1Fe3
Q2YDB3	Q2YDB3	q2ydb3	"Protein-kinase, interferon-inducible double stranded RNA dependent inhibitor, repressor of (P58 repressor)"	PRKRIR	Homo sapiens (Human)		PRKRIR
E9PFQ8	E9PFQ8	e9pfq8	Serine/threonine-protein kinase RIO1	RIOK1	Homo sapiens (Human)		RIOK1
E9PMA8	E9PMA8	e9pma8	Dual-specificity mitogen-activated protein kinase kinase 3 (Fragment)	MAP2K3	Homo sapiens (Human)		MAP2K3
E7EPP6	E7EPP6	e7epp6	Serine/threonine-protein kinase Chk1	CHEK1	Homo sapiens (Human)		CHEK1
E9PIZ6	E9PIZ6	e9piz6	Protein kinase C and casein kinase substrate in neurons protein 3 (Fragment)	PACSIN3	Homo sapiens (Human)		PACSIN3
E7ESA6	E7ESA6	e7esa6	Focal adhesion kinase 1	PTK2	Homo sapiens (Human)		PTK2
A0A0C4DG91	A0A0C4DG91	a0a0c4dg91	Nucleoside diphosphate kinase (EC 2.7.4.6)	NME6 hCG_1779448	Homo sapiens (Human)		NME6
F8WCN3	F8WCN3	f8wcn3	"Creatine kinase U-type, mitochondrial"	CKMT1B CKMT1A	Homo sapiens (Human)	CKMT1A	CKMT1B
A0A024R6H3	A0A024R6H3	a0a024r6h3	"Inositol 1,3,4-triphosphate 5/6 kinase, isoform CRA_a"	ITPK1 hCG_20056	Homo sapiens (Human)		ITPK1
E5RFW9	E5RFW9	e5rfw9	Focal adhesion kinase 1	PTK2	Homo sapiens (Human)		PTK2
D6R9G1	D6R9G1	d6r9g1	Cyclin-dependent kinase 7	CDK7	Homo sapiens (Human)		CDK7
B5TY33	B5TY33	b5ty33	Mitogen-activated protein kinase (EC 2.7.11.24)	MAPK14	Homo sapiens (Human)		MAPK14
A0A024R3M7	A0A024R3M7	a0a024r3m7	"Neurogranin (Protein kinase C substrate, RC3), isoform CRA_a"	NRGN hCG_1732008	Homo sapiens (Human)		NRGN
A0A024RD59	A0A024RD59	a0a024rd59	"Intestinal cell (MAK-like) kinase, isoform CRA_a"	ICK hCG_20817	Homo sapiens (Human)		ICK
A0A024R802	A0A024R802	a0a024r802	"Protein kinase, cAMP-dependent, regulatory, type I, beta, isoform CRA_b"	PRKAR1B hCG_1993358	Homo sapiens (Human)		PRKAR1B
B3KUV9	B3KUV9	b3kuv9	"cDNA FLJ40739 fis, clone TKIDN2004748, highly similar to Mitogen-activated protein kinase 12 (cDNA FLJ41671 fis, clone HCASM2001301, highly similar to Mitogen-activated protein kinase 12) (EC 2.7.11.24)"		Homo sapiens (Human)		
A0A024R5P0	A0A024R5P0	a0a024r5p0	"p21/Cdc42/Rac1-activated kinase 1 (STE20 homolog, yeast), isoform CRA_a"	PAK1 hCG_41873	Homo sapiens (Human)		PAK1
A6NND1	A6NND1	a6nnd1	Ribosomal protein S6 kinase alpha-1	RPS6KA1	Homo sapiens (Human)		RPS6KA1
D3DU05	D3DU05	d3du05	"Tousled-like kinase 2, isoform CRA_a"	TLK2 hCG_2000936	Homo sapiens (Human)		TLK2
D6RCD6	D6RCD6	d6rcd6	Calcium/calmodulin-dependent protein kinase type IV	CAMK4	Homo sapiens (Human)		CAMK4
B4DRX6	B4DRX6	b4drx6	"cDNA FLJ60339, highly similar to Phosphatidylinositol-4-phosphate 3-kinase C2 domain-containing alpha polypeptide (EC 2.7.1.154)"		Homo sapiens (Human)		
B4DWN8	B4DWN8	b4dwn8	"cDNA FLJ60362, highly similar to Epidermal growth factor receptor kinase substrate 8-like protein 1"		Homo sapiens (Human)		
B4DL25	B4DL25	b4dl25	"cDNA FLJ60656, highly similar to Connector enhancer of kinase suppressor ofras 1"		Homo sapiens (Human)		
B2RAW9	B2RAW9	b2raw9	"cDNA, FLJ95165, highly similar to Homo sapiens LIM domain kinase 2 (LIMK2), transcript variant 2b,mRNA"		Homo sapiens (Human)		
H0Y919	H0Y919	h0y919	Serine/threonine-protein kinase RIO2 (Fragment)	RIOK2	Homo sapiens (Human)		RIOK2
H7BYT1	H7BYT1	h7byt1	Casein kinase I isoform delta	CSNK1D	Homo sapiens (Human)		CSNK1D
B3KQF9	B3KQF9	b3kqf9	"cDNA FLJ90388 fis, clone NT2RP2005425, highly similar to A-kinase anchor protein 9"		Homo sapiens (Human)		
M0QZ82	M0QZ82	m0qz82	Serine/threonine-protein kinase D2 (Fragment)	PRKD2	Homo sapiens (Human)		PRKD2
Q2TA81	Q2TA81	q2ta81	"DOK1 protein (cDNA FLJ45184 fis, highly similar to Docking protein 1 (Downstream of tyrosine kinase 1)) (cDNA FLJ45754 fis, clone LYMPB2002806, highly similar to Docking protein 1 (Downstream of tyrosine kinase 1)) (cDNA FLJ60879, highly similar to Docking protein 1 (Downstream of tyrosinekinase 1))"	DOK1	Homo sapiens (Human)		DOK1
A0A024R603	A0A024R603	a0a024r603	"Death-associated protein kinase 2, isoform CRA_b"	DAPK2 hCG_32392	Homo sapiens (Human)		DAPK2
A1L4K2	A1L4K2	a1l4k2	Mitogen-activated protein kinase (EC 2.7.11.24)	MAPK8 hCG_23734	Homo sapiens (Human)		MAPK8
B3KMD4	B3KMD4	b3kmd4	"A kinase (PRKA) anchor protein 8-like, isoform CRA_d (cDNA FLJ10732 fis, clone NT2RP3001384, highly similar to A-kinase anchor protein 8)"	AKAP8L hCG_36782	Homo sapiens (Human)		AKAP8L
Q6PJG3	Q6PJG3	q6pjg3	LATS1 protein (Serine/threonine-protein kinase LATS1)	LATS1	Homo sapiens (Human)		LATS1
A0A0D9SGF8	A0A0D9SGF8	a0a0d9sgf8	"Membrane associated guanylate kinase, WW and PDZ domain containing 2, isoform CRA_c (Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2)"	MAGI2 hCG_40263	Homo sapiens (Human)		MAGI2
A0A087WT35	A0A087WT35	a0a087wt35	Phosphatidylinositol 5-phosphate 4-kinase type-2 beta (Fragment)	PIP4K2B	Homo sapiens (Human)		PIP4K2B
Q7KYX9	Q7KYX9	q7kyx9	PFKM protein (Phosphofructokinase) (EC 2.7.1.11)	PFKM	Homo sapiens (Human)		PFKM
F8VTT4	F8VTT4	f8vtt4	Serine/threonine-protein kinase Nek3	NEK3	Homo sapiens (Human)		NEK3
Q9H5N7	Q9H5N7	q9h5n7	"Ceramide kinase (cDNA: FLJ23239 fis, clone COL01248)"	CERK	Homo sapiens (Human)		CERK
B4DVS7	B4DVS7	b4dvs7	"cDNA FLJ52778, highly similar to Serine/threonine-protein kinase 25 (EC 2.7.11.1)"		Homo sapiens (Human)		
A0A087WZZ9	A0A087WZZ9	a0a087wzz9	Cyclin-dependent kinase 1	CDK1	Homo sapiens (Human)		CDK1
E5RIU4	E5RIU4	e5riu4	Cyclin-dependent kinase 16 (Fragment)	CDK16	Homo sapiens (Human)		CDK16
F8VZ72	F8VZ72	f8vz72	Protein kinase C-binding protein NELL2 (Fragment)	NELL2	Homo sapiens (Human)		NELL2
A8K8B9	A8K8B9	a8k8b9	"cDNA FLJ77368, highly similar to Homo sapiens protein kinase, cAMP-dependent, catalytic, alpha (PRKACA), transcript variant 2, mRNA"		Homo sapiens (Human)		
A8K709	A8K709	a8k709	Tyrosine-protein kinase (EC 2.7.10.2)		Homo sapiens (Human)		
D3DUP1	D3DUP1	d3dup1	"WNK lysine deficient protein kinase 1, isoform CRA_b"	WNK1 hCG_25271	Homo sapiens (Human)		WNK1
B4DXA6	B4DXA6	b4dxa6	"Aurora kinase C (cDNA FLJ60936, highly similar to Serine/threonine-protein kinase 13 (EC 2.7.11.1))"	AURKC	Homo sapiens (Human)		AURKC
A0A024R440	A0A024R440	a0a024r440	"Serine/threonine kinase 16, isoform CRA_a"	STK16 hCG_15566	Homo sapiens (Human)		STK16
Q06S79	Q06S79	q06s79	Long myosin light chain kinase (Fragment)	MYLK	Homo sapiens (Human)		MYLK
A0A0S2Z3F9	A0A0S2Z3F9	a0a0s2z3f9	"Cyclin-dependent kinase 7 (MO15 homolog, Xenopus laevis, cdk-activating kinase), isoform CRA_a (Cyclin-dependent kinase 7 isoform 1) (Fragment)"	CDK7 hCG_1988840	Homo sapiens (Human)		CDK7
D3DS91	D3DS91	d3ds91	"A kinase (PRKA) anchor protein 6, isoform CRA_b"	AKAP6 hCG_1812123	Homo sapiens (Human)		AKAP6
A1XGZ0	A1XGZ0	a1xgz0	Truncated cAMP-dependent protein kinase A type 1A regulatory subunit (Fragment)	PRKAR1A	Homo sapiens (Human)		PRKAR1A
A0A024R4E0	A0A024R4E0	a0a024r4e0	"Deoxythymidylate kinase (Thymidylate kinase), isoform CRA_a (Fragment)"	DTYMK hCG_93868	Homo sapiens (Human)		DTYMK
A0A097NUS3	A0A097NUS3	a0a097nus3	Fms-related tyrosine kinase 4 (EC 2.7.10.1) (Fms-related tyrosine kinase 4 variant) (Fragment)	FLT4	Homo sapiens (Human)		FLT4
B4E197	B4E197	b4e197	"cDNA FLJ55374, highly similar to Protein kinase C-binding protein NELL1"		Homo sapiens (Human)		
A0A024QZA9	A0A024QZA9	a0a024qza9	"Branched chain ketoacid dehydrogenase kinase, isoform CRA_b"	BCKDK hCG_21145	Homo sapiens (Human)		BCKDK
A0A0A0MRB5	A0A0A0MRB5	a0a0a0mrb5	MAP kinase-activating death domain protein	MADD	Homo sapiens (Human)		MADD
A0A090N8Z7	A0A090N8Z7	a0a090n8z7	FAST kinase	FASTK tcag7.769	Homo sapiens (Human)		FASTK
E5RJM2	E5RJM2	e5rjm2	Cyclin-dependent kinase 16 (Fragment)	CDK16	Homo sapiens (Human)		CDK16
A8MY87	A8MY87	a8my87	Kinase suppressor of Ras 1 (Fragment)	KSR1	Homo sapiens (Human)		KSR1
Q9C048	Q9C048	q9c048	Cyclin-dependent kinase inhibitor 3 (EC 3.1.3.16) (EC 3.1.3.48)		Homo sapiens (Human)		
A0A0D9SGI1	A0A0D9SGI1	a0a0d9sgi1	"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2"	MAGI2	Homo sapiens (Human)		MAGI2
A0A0S2Z562	A0A0S2Z562	a0a0s2z562	Cyclin-dependent kinase 20 isoform 2	CDK20	Homo sapiens (Human)		CDK20
A0A087WYS3	A0A087WYS3	a0a087wys3	Protein kinase C-binding protein 1	ZMYND8	Homo sapiens (Human)		ZMYND8
A0A0S2Z4D1	A0A0S2Z4D1	a0a0s2z4d1	Serine/threonine kinase 11 isoform 1 (Fragment)	STK11	Homo sapiens (Human)		STK11
A0A0D9SET0	A0A0D9SET0	a0a0d9set0	"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2"	MAGI2	Homo sapiens (Human)		MAGI2
E5RFQ9	E5RFQ9	e5rfq9	Serine/threonine-protein kinase 3 (Fragment)	STK3	Homo sapiens (Human)		STK3
B7ZL83	B7ZL83	b7zl83	Diacylglycerol kinase (DAG kinase) (EC 2.7.1.107)	DGKB	Homo sapiens (Human)		DGKB
A0A024RBQ3	A0A024RBQ3	a0a024rbq3	"Calcium/calmodulin-dependent protein kinase kinase 2, beta, isoform CRA_e"	CAMKK2 hCG_27364	Homo sapiens (Human)		CAMKK2
A0A024RAW5	A0A024RAW5	a0a024raw5	"Serine/threonine kinase 38 like, isoform CRA_b"	STK38L hCG_38767	Homo sapiens (Human)		STK38L
A8MT14	A8MT14	a8mt14	"HCG401289, isoform CRA_e (Pyridoxal kinase)"	PDXK hCG_401289	Homo sapiens (Human)		PDXK
N0E6J1	N0E6J1	n0e6j1	Casein kinase II subunit beta (CK II beta)	CSNK2B-LY6G5B-1072 CSNK2B-LY6G5B-1103	Homo sapiens (Human)	CSNK2B-LY6G5B-1103	CSNK2B-LY6G5B-1072
B4DUP1	B4DUP1	b4dup1	"cDNA FLJ57602, highly similar to Creatine kinase M-type (EC 2.7.3.2)"		Homo sapiens (Human)		
D9ZGF8	D9ZGF8	d9zgf8	Rho-associated protein kinase (EC 2.7.11.1)	ROCK1	Homo sapiens (Human)		ROCK1
H7C360	H7C360	h7c360	Mitogen-activated protein kinase kinase kinase kinase 4 (Fragment)	MAP4K4	Homo sapiens (Human)		MAP4K4
Q13280	Q13280	q13280	Calcium/calmodulin-dependent protein kinase II (Fragment)		Homo sapiens (Human)		
B4DDG2	B4DDG2	b4ddg2	"cDNA FLJ50436, weakly similar to Serine/threonine-protein kinase ATG1 (EC 2.7.11.1)"		Homo sapiens (Human)		
A0A024R9A8	A0A024R9A8	a0a024r9a8	"Ethanolamine kinase 2, isoform CRA_b"	ETNK2 hCG_16413	Homo sapiens (Human)		ETNK2
B3KPN2	B3KPN2	b3kpn2	"cDNA FLJ31987 fis, clone NT2RP7008855, highly similar to Connector enhancer of kinase suppressor of ras 2"		Homo sapiens (Human)		
Q53F55	Q53F55	q53f55	Deoxythymidylate kinase (Thymidylate kinase) variant (Fragment)		Homo sapiens (Human)		
B4DE87	B4DE87	b4de87	Inositol-tetrakisphosphate 1-kinase (EC 2.7.1.134)		Homo sapiens (Human)		
A0A024R0L8	A0A024R0L8	a0a024r0l8	"p21(CDKN1A)-activated kinase 4, isoform CRA_c"	PAK4 hCG_20282	Homo sapiens (Human)		PAK4
Q8NC76	Q8NC76	q8nc76	"cDNA FLJ90436 fis, clone NT2RP3000820, weakly similar to PUTATIVE SERINE/THREONINE-PROTEIN KINASE PKWA (EC 2.7.1.-)"		Homo sapiens (Human)		
E5RHX7	E5RHX7	e5rhx7	Tyrosine-protein kinase Fyn (Fragment)	FYN	Homo sapiens (Human)		FYN
D6RFZ9	D6RFZ9	d6rfz9	Receptor of-activated protein C kinase 1 (Fragment)	RACK1	Homo sapiens (Human)		RACK1
A0A1B0GWC2	A0A1B0GWC2	a0a1b0gwc2	Mevalonate kinase (MK) (EC 2.7.1.36) (Fragment)	MVK	Homo sapiens (Human)		MVK
K7EMA4	K7EMA4	k7ema4	Sphingosine kinase 1 (Fragment)	SPHK1	Homo sapiens (Human)		SPHK1
M0QXY8	M0QXY8	m0qxy8	Serine-protein kinase ATM (Fragment)	ATM	Homo sapiens (Human)		ATM
B7WPL9	B7WPL9	b7wpl9	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1	PPIP5K1	Homo sapiens (Human)		PPIP5K1
H0Y7V8	H0Y7V8	h0y7v8	Serine/threonine-protein kinase MRCK alpha (Fragment)	CDC42BPA	Homo sapiens (Human)		CDC42BPA
A0A140VJP1	A0A140VJP1	a0a140vjp1	Non-specific serine/threonine protein kinase (EC 2.7.11.1)		Homo sapiens (Human)		
B4DJD8	B4DJD8	b4djd8	"cDNA FLJ50091, highly similar to PX domain-containing protein kinase-like protein"		Homo sapiens (Human)		
B4DYV1	B4DYV1	b4dyv1	Tyrosine-protein kinase (EC 2.7.10.2)		Homo sapiens (Human)		
Q53EW6	Q53EW6	q53ew6	Serum/glucocorticoid regulated kinase-like isoform 1 variant (Fragment)		Homo sapiens (Human)		
F8W860	F8W860	f8w860	Phosphatidylinositol 4-kinase beta (Fragment)	PI4KB	Homo sapiens (Human)		PI4KB
Q4VAU9	Q4VAU9	q4vau9	Serine/threonine-protein kinase receptor (EC 2.7.11.30)	ACVR2B	Homo sapiens (Human)		ACVR2B
A6NMN0	A6NMN0	a6nmn0	"Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform"	PHKA1	Homo sapiens (Human)		PHKA1
A0A024RBB6	A0A024RBB6	a0a024rbb6	"Cyclin-dependent kinase 4, isoform CRA_a"	CDK4 hCG_40151	Homo sapiens (Human)		CDK4
E5RIU6	E5RIU6	e5riu6	Cyclin-dependent kinase 1 (Fragment)	CDK1	Homo sapiens (Human)		CDK1
M0R283	M0R283	m0r283	RAC-beta serine/threonine-protein kinase (Fragment)	AKT2	Homo sapiens (Human)		AKT2
F6U236	F6U236	f6u236	Protein kinase C and casein kinase substrate in neurons protein 1	PACSIN1	Homo sapiens (Human)		PACSIN1
H0YB27	H0YB27	h0yb27	Phosphatidylinositol 3-kinase regulatory subunit alpha (Fragment)	PIK3R1	Homo sapiens (Human)		PIK3R1
E7EUK8	E7EUK8	e7euk8	Cyclin-dependent kinase 14	CDK14	Homo sapiens (Human)		CDK14
B7Z4H4	B7Z4H4	b7z4h4	"cDNA FLJ61315, highly similar to Membrane-associated guanylate kinase, WW andPDZ domain-containing protein 2"		Homo sapiens (Human)		
A8MYJ1	A8MYJ1	a8myj1	A-kinase anchor protein 13	AKAP13	Homo sapiens (Human)		AKAP13
B4DXM8	B4DXM8	b4dxm8	"cDNA FLJ60942, highly similar to Phosphatidylinositol 3-kinase regulatory subunit gamma"		Homo sapiens (Human)		
B2R757	B2R757	b2r757	"cDNA, FLJ93294, highly similar to Homo sapiens phosphorylase kinase, gamma 1 (muscle) (PHKG1), mRNA"		Homo sapiens (Human)		
H0YN99	H0YN99	h0yn99	Pseudopodium-enriched atypical kinase 1	PEAK1	Homo sapiens (Human)		PEAK1
B4DYG2	B4DYG2	b4dyg2	"cDNA FLJ53397, highly similar to Mitotic checkpoint serine/threonine-proteinkinase BUB1 (EC 2.7.11.1)"		Homo sapiens (Human)		
C9JR00	C9JR00	c9jr00	cAMP-dependent protein kinase type I-beta regulatory subunit (Fragment)	PRKAR1B	Homo sapiens (Human)		PRKAR1B
B7Z1Z6	B7Z1Z6	b7z1z6	"cDNA FLJ58056, highly similar to Calcium/calmodulin-dependent protein kinase type II beta chain (EC 2.7.11.17)"		Homo sapiens (Human)		
B6D4Y7	B6D4Y7	b6d4y7	Tyrosine-protein kinase receptor (EC 2.7.10.1)	ALK	Homo sapiens (Human)		ALK
